Artist,Born,Died,Movement(s),Descriptors,Sex,Nationality
Thomas Struth,1954,,Contemporary Art,Photographer,Male,
Thomas Sully,1783,1872,,Painter,Male,American
Thomas Waterman Wood,1823,1903,,Painter,Male,American
Thomas Wilmer Dewing,1851,1938,Tonalism,Painter,Male,American
Thornton Willis,1936,,"Modern Art, Abstract Expressionism, Lyrical Abstraction",Painter,Male,American
Tim Hawkinson,1960,,Contemporary Art,Sculptor,Male,
Toba Khedoori,1964,,Contemporary Art,"Mixed Media, Sculptor",Female,"Iraqi, Australian"
Tom Friedman,1965,,Contemporary Art,"Conceptual Art, Sculptor",Male,
Tom Holland,1936,,Contemporary Art,"Mixed Media, Painter",Male,
Tom Wesselmann,1931,2004,"Modern Art, Pop Art","Painter, Collagist, Sculptor",Male,American
Tomoko Takahashi,1966,,Contemporary Art,Installation Art,Female,
Tony Cragg,1949,,Modern Art,Sculptor,Male,British
Tony Oursler,1957,,Contemporary Art,"Multimedia, Installation Art",Male,
Tony Smith,1912,1980,Modern Art,Sculptor,Male,American
Totte Mannes,1933,,Modern Art,Painter,Female,Finnish
Toyen,1902,1980,"Modern Art, Surrealism","Painter, Illustrator",Female,Czech
Tracey Emin,1963,,Contemporary Art,,Female,
Umberto Boccioni,1882,1916,"Modern Art, Futurism","Painter, Sculptor",Male,Italian
V‡clav _p‡la,1885,1946,Modern Art,"Painter, Illustrator",Male,Czech
Vadim Meller,1884,1962,"Modern Art, Cubism, Constructivism, Expressionism",Painter,Male,"Ukrainian, Russian"
Valie Export,1940,,Contemporary Art,"Video Art, Installation Art, Performance Art",Female,Austrian
Vanessa Beecroft,1969,,Contemporary Art,,Female,
Varvara Stepanova,1894,1958,"Modern Art, Constructivism","Painter, Textile Artist",Female,Russian
Vasudeo S. Gaitonde,1924,2001,"Modern Art, Abstract Expressionism",Painter,Male,Indian
Veronica Ruiz de Velasco,1968,,Contemporary Art,Painter,Female,Mexican
"Victor Brauner, Viktor Brauner",1903,1966,"Modern Art, Surrealism","Sculptor, Painter",Male,Romanian
Victor Moscoso,1936,,,"Graphic Designer, Printmaker",Male,"Spanish, American"
Victor Vasarely,1906,1997,"Modern Art, Op Art",Painter,Male,"Hungarian, French"
Vija Celmins,1938,,"Modern Art, Minimalism, Photorealism","Painter, Printmaker",Female,"Latvian, American"
Vik Muniz,1961,,Contemporary Art,Photographer,Male,
Vikky Alexander,1959,,Contemporary Art,Installation Art,Female,
Vincent G. Stiepevich,,,,,Male,American
Vincent van Gogh,1853,1890,"Modern Art, Post-Impressionism",Painter,Male,Dutch
Vito Acconci,1940,,Contemporary Art,"Installation Art, Performance Art",Male,
Vladimir Baranoff-Rossine,1888,1944,Modern Art,Painter,Male,"Ukrainian, Russian, French"
Vladimir Tatlin,1885,1953,"Modern Art, Constructivism","Painter, Architect",Male,Russian
Vladim’r Vasicek,1919,2003,Modern Art,Painter,Male,Czech
W. H. Bean,,,,,,American
Waldo Peirce,1884,1970,Modern Art,Painter,Male,American
Walker Evans,1903,1975,,Photographer,Male,American
Walt Kuhn,1877,1949,Modern Art,Painter,Male,American
Walter De Maria,1940,2013,Contemporary Art,"Installation Art, Conceptual Art",Male,
Walter Dorwin Teague,1883,1960,,"Industrial Designer, Architect",Male ,American
Walter Gay,1856,1937,,Painter,Male,American
Walter Launt Palmer,1854,1932,American Impressionism,Painter,Male,American
Walter Niedermayr,1952,,,Photographer,Male,Italian
Walter Shirlaw,1838,1909,,Painter,Male,American
Walter van Nessen,,,,,Male,
Wangechi Mutu,1972,,Contemporary Art,Painter,Female,
Washington Allston,1779,1843,,Painter,Male,American
"Wassily Kandinsky, Vasily Kandinsky",1866,1944,"Modern Art, Expressionism",Painter,Male,Russian
Wayne Thiebaud,1920,,"Modern Art, Pop Art, New Realism, Bay Area Figurative Movement","Painter, Printmaker",Male,American
Wes Wilson,1937,,,"Graphic Designer, Printmaker",Male,American
Wifredo Lam,1902,1982,Modern Art,Painter,Male,Cuban
Wilber L. Orme,,,,,Male ,
Wilhelm Hunt Diederich,,,,,Male,
Wilhelmina Weber Furlong,1878,1962,"Modern Art, Fauvism, Impressionism, Post-Impressionism, Expressionism, Cubism",Painter,Female,"German, American"
Will Barnet,1911,2012,Contemporary Art,Painter,Male,
Willard Metcalf,1858,1925,"Impressionism, American Impressionism, Landscape Painting",Painter,Male,American
Willem de Kooning,1904,1997,"Modern Art, Abstract Expressionism","Painter, Sculptor",Male,"Dutch, American"
William A. Harper,,,,,Male,American
William Baziotes,1912,1963,"Surrealism, Abstract Expressionism, Modern Art",Painter,Male,American
William Bradford,,,,,Male,American
William Copley,1919,1996,Modern Art,Painter,Male,American
William Dannat,1853,1929,,Painter,Male,American
William Dunlap,1766,1839,,Painter,Male,American
William Gedney Bunce,,,,,Male,American
William Glackens,1870,1938,"Modern Art, American Realism","Painter, Printmaker, Muralist",Male,American
William H. Rumney,,,,,Male,American
William H. Schenck,,,,,Male,American
William Hart,1823,1894,Landscape Painting,Painter,Male,American
William Henry Rinehart,1825,1874,Neoclassicism,Sculptor,Male,American
"William James Glackens, William Glackens",1870,1938,Realism,Painter,Male,American
William Jennys,1774,1859,,Painter,Male,American
William Johnston,1732,1772,,Painter,Male,American
William Kentridge,1955,,Contemporary Art,"Filmmaker, Video Art, Sculptor",Male,
William Klein,1928,,,Photographer,Male,"American, French"
William Langson Lathrop,1859,1938,"American Impressionism, Landscape Painting",Painter,Male,American
"William Louis Sonntag, William Louis Sonntag Sr.",1822,1900,"Hudson River School, Landscape Painting",Painter,Male,American
William McGregor Paxton,1869,1941,,Painter,Male,American
William Merritt Chase,1849,1916,Impressionism,Painter,Male,American
William Michael Harnett,1848,1892,,Painter,Male,American
"William Michael Harnett, William Harnett",1848,1892,Trompe L'Oeil,Painter,Male,American
William Morris Hunt,1824,1879,,Painter,Male,American
William Ordway Partridge,1861,1930,,Sculptor,Male,American
William P. Chappel,,,,,Male,American
William Page,1811,1885,,Painter,Male,American
William Powhida,1976,,Contemporary Art,Painter,Male,
William Rimmer,1816,1879,,Painter,Male,American
William Rudolph O'Donovan,1844,1920,,Sculptor,Male,American
William Sidney Mount,1807,1868,Genre Painting,Painter,Male,American
William Stanley Haseltine,1835,1900,"Hudson River School, Landscape Painting, Luminism",Painter,Male,American
William Tillyer,1938,,Modern Art,Printmaker,Male,British
William Trost Richards,1833,1905,"Landscape Painting, Hudson River School",Painter,Male,American
William Verstille,1757,1803,,Painter,Male,American
William Wetmore Story,1819,1895,,Sculptor,Male,American
William Williams,1727,1791,,"Painter, Novelist",Male,American
William Zorach,1887,1966,"Modern Art, Cubism","Sculptor, Painter, Printmaker",Male,American
Wim Delvoye,1965,,Contemporary Art,,Male,
Winslow Homer,1836,1910,Realism,Painter,Male,American
Wladimir Burliuk,1886,1917,"Modern Art, Primitivism",,Male,Ukranian
Wolciech Fangor,1922,2015,,"Painter, Graphic Designer, Printmaker",Male,Polish
Wolf Kahn,1927,,"Modern Art, Realism, Color Field Painting",Painter,Male,American
Wolf Vostell,1932,1998,"Modern Art, Fluxus, Contemporary Art","Painter, Sculptor, Video Art, Installation Art, Multimedia",Male,German
Wolfgang Hoffman,,,,,Male,
Wolfgang Tillmans,1968,,Contemporary Art,Photographer,Male,
Worthington Whittredge,1820,1910,Hudson River School,Painter,Male,American
Wu Guanzhong,1919,2010,Contemporary Art,Painter,Male,
Wu Tsang,1982,,Contemporary Art,"Filmmaker, Performance Art",Female,American
Xing Xin,1981,,Contemporary Art,Performance Art,Male,
Xul Solar,1887,1963,"Modern Art, Expressionism, Surrealism, Symbolism",Painter,Male,Argentinian
Yaacov Agam,1928,,"Modern Art, Op Art, Kinetic Art",Sculptor,Male,Israeli
Yasumasa Morimura,1951,,Contemporary Art,Photographer,Male,
Yasuo Kuniyoshi,1893,1953,,"Painter, Photographer, Printmaker",Male,American
Yayoi Kusama,1929,,Contemporary Art,"Installation Art, Performance Art, Painter",Female,
Yinka Shonibare,1962,,Contemporary Art,,Male,
Yoko Ono,1933,,Contemporary Art,"Conceptual Art, Musician, Performance Art",Female,
Yto Barrada,1971,,,"Multimedia, Photography",Female,French
Yves Klein,1928,1962,"Modern Art, Nouveau Realisme","Performance Art, Painter",Male,French
Yves Tanguy,1900,1955,"Modern Art, Surrealism",Painter,Male,French
Yvonne Jacquette,1934,,Landscape Painting,"Painter, Printmaker",Female,American
Yvonne Rainer,1934,,Contemporary Art,Performance Art,Female,
Zoe Leonard,1961,,Contemporary Art,Photographer,Female,
Zoran Music,1909,2005,Contemporary Art,Painter,Male,
Lyubov Popova,1889,1924,"Suprematism, Cubism, Constructivism",Painter,Female,Russian
Mikhail Larionov,1881,1964,Cubism,Painter,Male,Russian
Morgan Russell,1886,1953,Synchronism,Painter,Male,American
Medardo Rosso,1858,1928,Impressionism,Sculptor,Male,Italian
William H. Johnson,1901,1970,Harlem Renaissance,Painter,Male,American
Faith Ringgold,1930,,,Quilter,Female,American
"Vasilii Kamenskii, Vasily Kamensky",1884,1961,Russian Futurism,Poet,Male,Russian
Nikolai Kul'bin,1868,1917,Russian Futurism,Painter,Male,Russian
Georges Ribemont-Dessaignes,1884,1974,Dadaism,Painter,Male,French
John Barnard,1956,,,Designer,Male,British
Arthur A. Aykanian,,,,,,
Ludwig Mies van der Rohe,1886,1969,,Architect,Male,"German, American"
Robert P. Gottlieb,1921,1977,,Designer,Male,American
Florence Knoll,1917,,,"Designer, Architect",Female,American
Gil Brown,,,,,Male,
Rick Carter,,,,,,
Paolo Lomazzi,1936,,,,Male,Italian
Joe Nardi,,,,,Male,
Sonia Svecova,1946,,,,Female,Czech
Ryoji Akiyama,1942,,,,Male,Japanese
Susi Berger,,,,,Female,
Cesare Casati,,,,,Male,
Jason Crum,1935,2004,,,Male,American
Karl Elsener,1860,1918,,,Male,Swiss
David Gammon,,,,,Male,
Piero Gilardi,1942,,Arte Povera,,Male,Italian
Jacob Jensen,1926,2015,,Designer,Male,Danish
Craig Kauffman,1932,2010,"Minimalism, Light and Space","Sculptor, Painter",Male,American
Johannes Larsen,1867,1961,Wildlife,Painter,Male,Danish
Pio Manzu,1939,1969,,Designer,Male,Italian
Meredith Monk,1942,,,Performance Art,Female,American
Julia Murdoch,,,,Designer,Female,British
Robert Oberheim,1938,,,Industrial Designer,Male,German
Ettore Sottsass,1917,2007,,"Architect, Designer",Male,Italian
Mason Williams,1938,,,Musician,Male,American
Peter Blake,1932,,Pop Art,Designer,Male,British
Achille Castiglioni,1918,2002,,Designer,Male,Italian
John Cline,,,,"Printmaker, Designer",Male,American
Michael Cooper,,,,"Printmaker, Designer",Male,British
Michael English,,,,Printmaker,Male,
Gary Essert,,,,Printmaker,Male,
Robert Fried,,,,Printmaker,Male,
Harry Gordon,,,,Designer,Male,
Vittorio Gregotti,1927,,,Architect,Male,Italian
Charles Gwathmey,1938,2009,,Architect,Male,American
John Hamilton,,,,,Male,
W. S. Henry,,,,Printmaker,Male,
Cathy Hill,,,,Printmaker,Female,
David Holzman,,,,Printmaker,Male,
Carl H. Johansen III,,,,Printmaker,Male,
Cesare Leonardi,1935,,,Designer,Male,Italian
Linda Marshall,,,,Printmaker,Female,
John H. Myers,,,,Printmaker,Male,
LeRoy Olson,,,,Printmaker,Male,
Pierre Paulin,1927,2009,,Furniture Designer,Male,French
Martin Sharp,1967,2013,,Designer,Male,Australian
Neal Small,1937,,,Designer,Male,American
Etel Adnan,1925,,,Poet,Male,American
"Gego, Gego (Gertrud Goldschmidt)",1912,1994,"Kinetic Art, Geometric Abstraction",Sculptor,Female,Venezuelan
Paul Rudolph,1918,1997,,Architect,Male,American
Roger Tallon,1929,2011,,Industrial Designer,Male,French
Rodolfo Bonetto,1929,1991,,Designer,Male,Italian
Kenneth Brozen,1927,1989,,Designer,Male,American
Wojciech Fangor,1922,2015,,Graphic Designer,Male,Polish
Sir William Lyons,1901,1985,,,Male,British
Mort N. Marton,,,,Designer,Male,
Armin Hofmann,1920,,,Graphic Designer,Male,Swiss
Katsuhiro Yamaguchi,1928,,,,Male,Japanese
Alfred Jensen,1903,1981,Modern Art,Painter,Male,American
Marc A. Chavannes,,,,Designer,Male,
Herbert Matter,1907,1984,,"Photographer, Graphic Designer",Male,"Swiss, American"
"Le Corbusier, Le Corbusier (Charles-Edouard Jeanneret)",1887,1965,,Architect,Male,"Swiss, French"
Charlotte Perriand,1903,1999,,"Designer, Architect",Female,French
Erwin Hauer,1926,,,Sculptor,Male,Austrian
Eszter Haraszty,1920,1994,,Designer,Female,Hungarian
Clara Porset,1895,1981,,Interior Designer,Female,Cuban
Harry Gitlin,,,,Designer,Male,American
Junzo Sakakura,1901,1969,,Architect,Male,Japanese
Rudolf Bircher,,,,Graphic Designer,Male,Swiss
Ray Eames,1912,1988,,Designer,Female,American
Eero Saarinen,1910,1961,,Designer,Male,"Finnish, American"
Vera Liskova,,,,Designer,Female,Czech
Arthur Young,,,,,Male,
Noemi Raymond,1889,1980,,,Female,American
Antonio Bonet,1913,1989,,"Architect, Designer",Male,Catalan
Ladislav Sutnar,1897,1976,,Graphic Designer,Male,Czech
Marli Ehrman,1904,1982,,Designer,Female,"German, American"
Eileen Gray,1878,1976,,"Designer, Architect",Female,Irish
Semyon Fridlyand,,,,Photographer,Male,Russian
Frederick Kiesler,1890,1965,,"Architect, Designer",Male,"Austrian, American"
"William Wagenfeld, Wilhelm Wagenfeld",1900,1990,,Industrial Designer,Male,German
Wladyslaw Strzeminski,1893,1952,,Painter,Male,Polish
Serge Chermayeff,1900,1996,,"Architect, Designer",Male,British
Iakov Chernikhov,1889,1951,Constructivism,"Architect, Designer",Male,Russian
Albrecht Heubner,,,,"Architect, Designer",Male,
Mikhail Razulevich,,,,,Male ,Russian
Aino Aalto,1894,1949,,"Architect, Designer",Female,Finnish
Gustav Klutsis,1895,1938,Constructivism,Photographer,Male,Latvian
Solomon Telingater,1903,1969,,Graphic Designer,Male,Russian
Gerd Arntz,1900,1988,,Printmaker,Male,German
Herbert Bayer,1900,1985,,"Graphic Designer, Printmaker",Male,"Austrian, American"
Alexander Dovzhenko,1894,1956,,Filmmaker,Male,Russian
Vera Ermolaeva,1893,1937,,"Painter, Graphic Designer",Female,Russian
Alexandra Exter,1882,1949,"Constructivism, Suprematism","Painter, Graphic Designer",Female,Russian
Helene Haasbauer-Wallrath,,,,Graphic Designer,Female,
Helmuth Kurtz,1903,1959,,Graphic Designer,Male,Swiss
Josef von Sternberg,1894,1969,,Filmmaker,Male,Austrian
Marcel Breuer,1902,1981,,"Architect, Designer",Male,American
Hans Leistikow,1892,1962,,,Male,German
Johannes Molzahn,1892,1965,,"Painter, Printmaker",Male,German
Ernst Mumenthaler,,,,Graphic Designer,Male,Swiss
Richard Schadewell,,,,Industrial Designer,Male,German
Vladimir Stenberg,1899,1982,,Graphic Designer,Male,Russian
Dziga Vertov,1896,1954,,Filmmaker,Male,Russian
Francis Bernard,1900,1979,,Graphic Designer,Male,French
Walter Gropius,1883,1969,Bauhaus,Architect,Male,German
Ernst Keller,1891,1968,,Graphic Designer,Male,Swiss
Hans Scharoun,1893,1972,,Architect,Male,German
Nikolai Suetin,1897,1954,Suprematism,Graphic Designer,Male,Russian
Willi Baumeister,1889,1955,,Painter,Male,German
Edouard-Wilfred Buquet,,,,Designer,Male,
"Grete Lihotzky, Margarete Schutte-Lihotzky",1897,2000,,Architect,Female,Austrian
Lilly Reich,1885,1947,,Designer,Female,German
Alfred Roth,1903,1998,,"Architect, Designer",Male,Swiss
Karl Ludwig Straub,,,,,Male,
Christian Dell,1893,1974,,Designer,Male,German
Vladimir Lebedev,1891,1967,,"Painter, Graphic Designer",Male,Russian
Vsevolod Pudovkin,1893,1953,,Filmmaker,Male,Russian
Georgii Zimin,,,,Photographer,Male,
Sergei Eisenstein,1898,1948,,Filmmaker,Male,Russian
Amedee Ozenfant,1886,1966,Cubism,Painter,Male,French
"Jean Pougny, Jean Pougny (Ivan Puni)",1892,1956,Suprematism,Painter,Male,Russian
Gunta Stolzl,1897,1983,Bauhaus,Textile Artist,Female,German
Walter Dexel,1890,1973,Constructivism,Painter,Male,German
Vasyl' Iermilov,1894,1968,"Constructivism, Cubism, Neo-Primitivism",Painter,Male,Ukrainian
John H. Lickert,,,,Industrial Designer,Male,
Aleksandr Vesnin,1883,1959,Constructivism,Architect,Male,Russian
Sophie Taeuber-Arp,1889,1943,,"Painter, Textile Artist, Designer",Female,Swiss
Kseniia Boguslavskaia,1892,1972,"Futurism, Suprematism","Poet, Designer, Painter",Female,Russian
Katherine S. Dreier,1877,1952,,Painter,Female,American
"Vladimir Kozlinskii, Vladimir Kozlinsky",,,,Graphic Designer,Male,
Aleksei Kruchenykh,1886,1968,,Poet,Male,Russian
John Covert,1882,1960,,Painter,Male,American
Augustus Frederick Sherman,1865,1925,,Photographer,Male,American
Elisabeth Hase,1905,1991,,Photographer,Female,German
Theodore  Roszak,1907,1981,,"Sculptor, Painter",Male,"Polish, American"
Gustav Le Gray,1820,1884,,Photographer,Male,French
"Edward J. Steichen, Edward Steichen",1879,1973,Social Realism,Photographer,Male,American
Grigorii Miller,,,,Photographer,Male,Russian
Katsumi Watanabe,,,,Photographer,Male,Japanese
Albert Renger-Patzsch,1897,1966,,Photographer,Male,German
Neil Selkirk,1947,,,Photographer,Male,American
Eadweard Muybridge,1830,1904,,Photographer,Male,British
Ernest Benecke,1817,1894,,Photographer,Male,British
Alfred Q. Collins,1855,1903,,Painter,Male,
Samuel Aloysius Murray,1869,1941,,Sculptor,Male,American
Frederic Edwin Church,1826,1900,Hudson River School,Painter,Male,American
Charles Calverley,1833,1914,,Sculptor,Male,American
John G. de la Mothe Borglum,1867,1941,,Sculptor,Male,American
George Caleb Bingham,1811,1879,Luminism,Painter,Male,American
Arthur Putnam,1873,1930,,Sculptor,Male,American
Charles Sprague Pearce,1851,1914,,Painter,Male,American
Zhou Tao,,,Contemporary Art,,Male,Chinese
Sun Yuan,,,Contemporary Art,,,
Peng Yu,,,Contemporary Art,,,
Tsang Kin-Wah,,,Contemporary Art,,Male,Chinese
Henri de Toulouse-Lautrec,1864,1901,"Post-Impressionism, Art Nouveau","Painter, Printmaker, Illustrator",Male,French
Sun Xun,,,Contemporary Art,,Male,Chinese
Kan Xuan,1971,,Contemporary Art,,Female,Chinese
Chia-En Jao,,,Contemporary Art,,Male,Chinese
Albert Gleizes,1881,1953,Cubism,Painter,Male,French
Andre Giroux,1801,1879,Genre Painting,"Painter, Photographer",Male,French
Juan de Flandes,1460,1519,Spanish Renaissance,Painter,Male,Netherlandish
Petrus Christus,1410,1475,,Painter,Male,Netherlandish
"Camille Corot, Jean-Baptiste-Camille Corot",1796,1875,"Romanticism, Realism",Painter,Male,French
Giuseppe Recco,1634,1695,Baroque,Painter,Male,Italian
Eduard Gaertner,1801,1877,,Painter,Male,German
Bartolomeo di Tommaso,1409,1454,,Painter,Male,Italian
Raphael,1483,1520,High Renaissance,Painter,Male,Italian
Giovanni Battista Tiepolo and Workshop,1696,1770,Rococo,Painter,Male,Italian
Theodore Gericault,1791,1824,Romanticism,Painter,Male,French
Piero di Cosimo,1462,1522,Italian Renaissance,Painter,Male,Italian
Auguste-Xavier Leprince,1799,1826,,Painter,Male,French
Alfred Sisley,1839,1899,Impressionism,Painter,Male,French
Theodore Rousseau,1812,1867,"Realism, Barbizon School",Painter,Male,French
Fra Bartolomeo,1472,1517,Italian Renaissance,Painter,Male,Italian
Frans van Mieris the Elder,1635,1681,Baroque,Painter,Male,Dutch
Giovanni da Milano,1325,1370,,Painter,Male,Italian
Alexandre Hyacinthe Dunouy,1757,1841,,Painter,Male,French
Francesco Francia,1447,1517,,Painter,Male,Italian
"Jean Simeon Chardin, Jean-Baptiste-Simeon Chardin",1699,1779,Genre Painting,Painter,Male,French
Odilon Redon,1840,1916,Symbolism,"Painter, Printmaker",Male,French
Pompeo Batoni,1708,1787,Neoclassicism,Painter,Male,Italian
Sir Thomas Lawrence,1769,1830,Romanticism,Painter,Male,British
Agnolo Gaddi,1380,1396,,Painter,Male,Italian
"Velazquez, Diego Velazquez",1599,1660,Baroque,Painter,Male,Spanish
Carlo Crivelli,1420,1495,Italian Renaissance,Painter,Male,Italian
Paolo Veronese,1528,1588,Italian Renaissance,Painter,Male,Italian
Henri Fantin-Latour,1836,1904,Symbolism,Painter,Male,French
Giovanni di Paolo,1403,1482,Quattrocento,Painter,Male,Italian
Anders Zorn,1860,1920,Impressionism,Painter,Male,Swedish
"Philippe de Champagne, Philippe de Champaigne",1602,1674,Baroque,Painter,Male,French
Giovanni Antonio Pellegrini,1675,1741,History Painting,Painter,Male,Italian
Mattia Preti,1613,1699,Baroque,Painter,Male,Italian
Pietro Longhi,1701,1785,Genre Painting,Painter,Male,Italian
Hans Memling,1430,1494,,Painter,Male,German
Anthony van Dyck,1599,1641,Baroque,Painter,Male,Flemish
Francois Hubert Drouais,1727,1775,,Painter,Male,French
Camille Pissarro,1830,1903,"Impressionism, Post-Impressionism",Painter,Male,French
"Goya, Francisco Goya",1746,1828,Romanticism,Painter,Male,Spanish
Nicolas Poussin,1594,1665,Baroque,Painter,Male,French
Pierre Puvis de Chavannes,1824,1898,Symbolism,Painter,Male,French
Franciabigio,1482,1525,Italian Renaissance,Painter,Male,Italian
Cima da Conegliano,1459,1517,Italian Renaissance,Painter,Male,Italian
Claude Lorrain,1600,1682,Baroque,Painter,Male,French
Domenichino,1581,1641,Baroque,Painter,Male,Italian
Antoine-Louis Barye,1796,1875,,Sculptor,Male,French
Francesco Guardi,1712,1793,Venetian School,Painter,Male,Italian
Carlo Dolci,1616,1686,Baroque,Painter,Male,Italian
Simon Denis,1755,1813,Landscape Painting,Painter,Male,Belgian
Gerard David,1460,1523,,Painter,Male,Netherlandish
Ottavio Leoni,1578,1630,Baroque,Painter,Male,Italian
Francesco Solimena,1657,1747,Baroque,Painter,Male,Italian
Jacques Louis David,1748,1825,Neoclassicism,Painter,Male,French
Francisco de Zurbaran,1598,1664,Baroque,Painter,Male,Spanish
Eugene Delacroix,1798,1863,Romanticism,Painter,Male,French
Hans Baldung,1484,1545,,"Painter, Printmaker",Male,German
Antoine Watteau,1684,1721,Rococo,Painter,Male,French
Joos van Cleve,1485,1541,,Painter,Male,Flemish
Jean Honore Fragonard,1732,1806,Rococo,Painter,Male,French
Michele Giambono,1400,1462,Gothic,Painter,Male,Italian
Girolamo Romanino,1485,1566,High Renaissance,Painter,Male,Italian
Constantin Hansen,1804,1880,Romanticism,Painter,Male,Danish
"Rembrandt, Rembrant Harmenszoon van Rijn",1606,1669,Baroque,Painter,Male,Dutch
"Garofalo, Benvenuto Tisi, Il Garofalo",1481,1559,Mannerism,Painter,Male,Italian
Andrea Mantegna,1431,1506,"Italian Renaissance, Quattrocento",Painter,Male,Italian
James Tissot,1836,1902,,Painter,Male,French
Willem Claesz Heda,1593,1682,,Painter,Male,Dutch
Carle Vernet,1758,1836,,Painter,Male,French
Jean Marc Nattier,1685,1766,Rococo,Painter,Male,French
Ambrosius Benson,1495,1550,Mannerism,Painter,Male,Italian
Govert Flinck,1615,1660,Baroque,Painter,Male,Dutch
Carle Vanloo,1705,1765,,Painter,Male,French
Bartolome Esteban Murillo,1617,1682,Baroque,Painter,Male,Spanish
Frans Hals,1582,1666,,Painter,Male,Dutch
Quentin Metsys,1466,1530,,Painter,Male,Flemish
Domenico Ghirlandaio,1449,1494,Italian Renaissance,Painter,Male,Italian
Pietro di Domenico da Montepulciano,1418,1422,,Painter,Male,Italian
Eugene Boudin,1824,1898,Impressionism,Painter,Male,French
Berthe Morisot,1841,1895,Impressionism,Painter,Female,French
Hyacinthe Rigaud and Workshop,1659,1743,Baroque,Painter,Male,French
Jean Auguste Dominique Ingres,1780,1867,Neoclassicism,Painter,Male,French
Meyndert Hobbema,1638,1709,,Painter,Male,French
Bramantino,1456,1530,Italian Renaissance,Painter,Male,Italian
Giovanni di Tano Fei,,,,,,
Hieronymus Bosch,1450,1516,Renaissance,Painter,Male,Dutch
Andrea Schiavone,1510,1563,Italian Renaissance,Painter,Male,Italian
El Greco,1541,1614,Mannerism,Painter,Male,Greek
Lucas Cranach the Elder,1472,1553,,Painter,Male,German
Biagio d'Antonio,1446,1516,Italian Renaissance,Painter,Male,Italian
Francios Eduoard Picot,1786,1868,,Painter,Male,French
Henri Regnault,1843,1871,,Painter,Male,French
Aert van der Neer,1603,1677,,Painter,Male,Dutch
Giovanni Bellini,1430,1516,"Italian Renaissance, Quattrocento",Painter,Male,Italian
Giovanni Paolo Panini,1691,1765,,Painter,Male,Italian
Joseph Anton Koch,1768,1839,Neoclassicism,Painter,Male,German
Thomas Couture,1815,1879,,Painter,Male,French
Daniele da Volterra,1509,1566,Mannerism,Painter,Male,Italian
Lippo Memmi,1291,1356,Gothic,Painter,Male,Italian
Gerard ter Borch the Younger,1617,1681,Dutch Golden Age,Painter,Male,Dutch
Bernard van Orley,1487,1541,,Painter,Male,Flemish
Caspar David Friedrich,1774,1840,,Painter,Male,German
Jean Francois de Troy,1679,1752,Rococo,Painter,Male,French
Gerrit Dou,1613,1675,Genre Painting,Painter,Male,Dutch
Gustave Courbet,1819,1877,Realism,Painter,Male,French
Theodore Chasseriau,1819,1856,Romanticism,Painter,Male,French
Dieric Bouts,1415,1475,,Painter,Male,Netherlandish
Carlo Francesco Nuvolone,1609,1702,Baroque,Painter,Male,Italian
Jean-Baptiste Greuze,1725,1805,"Genre Painting, History Painting",Painter,Male,French
Leon Bonnat,1833,1922,,Painter,Male,French
Rogier van der Weyden,1299,1464,,Painter,Male,Netherlandish
Carlo Saraceni,1579,1620,Baroque,Painter,Male,Italian
Antione Vestier,1740,1824,,Painter,Male,French
Leon-Augustin Lhermitte,1844,1925,Realism,Painter,Male,French
Jean-Francois Millet,1814,1875,Realism,Painter,Male,French
Pieter de Hooch,1629,1684,Genre Painting,Painter,Male,Dutch
Charles Remond,1795,1875,,Painter,Male,French
Francois Boucher,1703,1770,Rococo,Painter,Male,French
Marcantonio Franceschini,1648,1729,Baroque,Painter,Male,Italian
Johannes Vermeer,1632,1675,Baroque,Painter,Male,French
Titian and Workshop,1488,1576,Italian Renaissance,Painter,Male,Italian
Philips Koninck,1619,1688,Landscape Painting,Painter,Male,Dutch
Joachim Patinir,1480,1524,Landscape Painting,Painter,Male,Flemish
Joseph Mallord William Turner,1775,1851,Romanticism,Painter,Male,British
Charles le Brun,1619,1690,Baroque,Painter,Male,French
Lorenzo Monaco,1370,1425,Gothic,Painter,Male,Italian
"Narcisse-Virgile Diaz de la Pena, Narcisse Virgilio Díaz de la Peña",1807,1876,"Landscape Painting, Barbizon School",Painter,Male,French
Thomas Gainsborough,1727,1788,Rococo,Painter,Male,British
Francesco Maffei,1605,1660,Baroque,Painter,Male,Italian
Abraham van Beyeren,1620,1690,"Baroque, Dutch Golden Age",Painter,Male,Dutch
Leon Palliere,1787,1820,,Painter,Male,French
Luca Signorelli and Workshop,1445,1523,"Italian Renaissance, Quattrocento",Painter,Male,Italian
Bernardo Daddi,1280,1348,Italian Renaissance,Painter,Male,Italian
"Bronzino, Agnolo di Cosimo",1503,1572,Mannerism,Painter,Male,Italian
"Pietro di Francesco Orioli, Pietro di Francesco degli Orioli",1458,1496,Italian Renaissance,Painter,Male,Italian
Jan van der Heyden,1637,1712,Baroque,Painter,Male,Dutch
Donato de' Bardi,1426,1451,,Painter,Male,Italian
Franz Ludwig Catel,1778,1856,Genre Painting,Painter,Male,German
Salvator Rosa,1615,1673,Baroque,Painter,Male,Italian
George Chinnery,1774,1852,,Painter,Male,British
Johannes Verspronck,1600,1662,Baroque,Painter,Male,Dutch
Taddeo Gaddi,1290,1366,,Painter,Male,Italian
Adrien Dauzats,1804,1868,Genre Painting,Painter,Male,French
